slug,title,source_url,publisher_permission,fit_status,safety_status,decision,reason
ultimate-flying-car,Ultimate Flying Car,https://www.gamepix.com/play/ultimate-flying-car,pending,good,approved,keep_pending,"True local split-screen play; desktop; strong rating; wait for official Publisher embed and SID"
racing-ball-3d,Racing Ball 3D,https://www.gamepix.com/play/racing-ball-3d,pending,unclear,approved,manual_test,"Page mentions multiplayer but documents only one control scheme; confirm simultaneous two-player mode"
bomber-friends,Bomber Friends,https://www.gamepix.com/play/bomber-friends,pending,poor,review,reject_for_launch,"GamePix states the browser version is single-player while versus/online play is in the app"
getaway-shootout,Getaway Shootout,https://www.gamepix.com/play/getaway,pending,good,review,hold,"Likely local two-player but weapon-focused content needs AdSense and audience-safety review"
master-chess-multiplayer,Master Chess Multiplayer,https://www.gamepix.com/play/master-chess-multiplayer,pending,good,approved,keep_pending,"Clear two-player/multiplayer fit and brand-safe board-game content; wait for official embed"
bubble-machine,Bubble Machine,https://www.gamepix.com/play/bubble-machine,pending,unclear,approved,manual_test,"Listed as two-player but simultaneous mode and controls are not sufficiently documented"
gt-cars-mega-ramps,GT Cars Mega Ramps,https://www.gamepix.com/play/gt-cars-mega-ramps,pending,unclear,approved,manual_test,"Listed as two-player but page documents one control scheme; verify local mode hands-on"
night-city-racing,Night City Racing,https://www.gamepix.com/play/night-city-racing,pending,good,approved,keep_pending,"Strong desktop racing candidate; verify simultaneous controls and obtain official embed"
playing-with-fire,Playing with Fire,https://www.gamepix.com/play/playing-with-fire,pending,unclear,review,hold,"Two-player fit but bomb/blast combat needs conservative content review and hands-on testing"
fireboy-and-watergirl,Fireboy and Watergirl,https://www.gamepix.com/play/fireboy-and-watergirl,pending,good,approved,keep_pending,"Clear same-keyboard cooperative controls; publish only through GamePix-authorized embed"
bounce-path-multiplayer,Bounce Path Multiplayer,https://www.gamepix.com/play/bounce-path-multiplayer,verified,good,approved,publish,"Official GamePix embed; browser puzzle multiplayer; brand-safe"
ninja-parkour-multiplayer,Ninja Parkour Multiplayer,https://www.gamepix.com/play/ninja-parkour-multiplayer,verified,good,approved,publish,"Official GamePix embed; online platform racing without combat"
multiplayer-pong,Multiplayer Pong,https://www.gamepix.com/play/multiplayer-pong,verified,good,approved,publish,"Official GamePix embed; online paddle game"
darts-pro-multiplayer,Darts Pro Multiplayer,https://www.gamepix.com/play/darts-pro-multiplayer,verified,good,approved,publish,"Official GamePix embed; non-gambling sports game"
master-checkers-multiplayer,Master Checkers Multiplayer,https://www.gamepix.com/play/master-checkers-multiplayer,verified,good,approved,publish,"Official GamePix embed; online and same-device board game"
tic-tac-toe-pro-multiplayer-challenge,Tic Tac Toe Pro Multiplayer Challenge,https://www.gamepix.com/play/tic-tac-toe-pro-multiplayer-challenge,verified,good,approved,publish,"Official GamePix embed; lightweight strategy game"
multiplayer-forest-survive,Multiplayer Forest Survive,https://www.gamepix.com/play/multiplayer-forest-survive,verified,unclear,review,hold,"Survival theme requires hands-on violence review before publication"
neon-king-a-local-multiplayer-platformer,Neon King - A Local Multiplayer Platformer,https://www.gamepix.com/play/neon-king-a-local-multiplayer-platformer,verified,good,review,hold,"Strong local two-player fit but attack/elimination mechanics need conservative content review"
urban-sniper-multiplayer-2,Urban Sniper Multiplayer 2,https://www.gamepix.com/play/urban-sniper-multiplayer-2,verified,poor,rejected,reject,"Sniper and shooting content conflicts with launch safety policy"
italian-brainrot-racing-multiplayer,Italian Brainrot Racing Multiplayer,https://www.gamepix.com/play/italian-brainrot-racing-multiplayer,verified,unclear,review,hold,"Meme-character and brand-safety review required before publication"
